GID,DATE,VENDOR,STAGE,FEEDBACK_AREA,SOURCE,FEEDBACK_TYPE,CRITICALITY,ACTION_TAKEN_BY_VENDOR,instance,ID
SCI,2023-12-05,Alpha Press,Binding,Illustrations,Internal,Negative,Medium,Addressed,1,SCI2312051
POE,2024-11-04,Beta books,Typesetting,Body Text,External,Negative,High,Pending,1,POE2411041
POE,2023-01-10,Beta Books,Typesetting,Front Cover,Internal,Negative,Low,Revised,1,POE2301101
FIC,2024-04-03,Thomson Press,Typesetting,Front Cover,Internal,Negative,Medium,Rejected,1,FIC2404031
COM,2023-12-20,alpha press,Proofreading,Back Cover,Internal,Negative,Medium,Addressed,1,COM2312201
THR,2024-03-04,Thomson Press,Manuscript,Illustrations,Internal,Negative,Medium,Pending,1,THR2403041
ROM,2023-03-02,Beta books,Manuscript,Front Cover,Internal,Negative,Medium,Addressed,1,ROM2303021
POE,2023-04-03,Alpha Press,Printing,Body Text,Internal,Negative,Medium,Rejected,1,POE2304031
THR,2023-04-17,alpha press,Manuscript,Reference Section,External,Negative,Medium,Pending,1,THR2304171
COM,2023-08-21,Epsilon Ltd.,Proofreading,Back Cover,Internal,Negative,Low,Accepted,1,COM2308211
THR,2023-04-19,AlBe Publishing,Typesetting,Reference Section,External,Negative,Low,,1,THR2304191
ROM,2024-09-16,Beta books,Printing,Index,External,Negative,Medium,Addressed,1,ROM2409161
ROM,2024-09-26,Epsilon Ltd.,Proofreading,Index,Internal,Negative,Low,Pending,1,ROM2409261
HIS,2023-06-26,Epsilon Ltd.,Printing,Reference Section,Internal,Negative,Medium,Pending,1,HIS2306261
ROM,2023-08-12,Epsilon Ltd.,Proofreading,Front Cover,External,Negative,High,Accepted,1,ROM2308121
POE,2024-09-28,Gamma Publishing,Proofreading,Illustrations,Internal,Negative,Low,Revised,1,POE2409281
BIO,2023-04-08,Beta books,Manuscript,Reference Section,Internal,Negative,High,Accepted,1,BIO2304081
THR,2024-07-28,Thomson Press,Binding,Illustrations,External,Negative,High,Pending,1,THR2407281
SCI,2024-01-21,Thomson Press,Proofreading,Index,Internal,Negative,Low,Revised,1,SCI2401211
HIS,2023-01-05,Gamma Publishing,Manuscript,front cover,Internal,Negative,Medium,Revised,1,HIS2301051
FIC,2024-08-20,Delta Inc.,Manuscript,Index,Internal,Negative,Low,Pending,1,FIC2408201
POE,2024-04-14,Alpha Press,Typesetting,Back Cover,Internal,Negative,Low,Accepted,1,POE2404141
POE,2024-11-18,alpha press,Manuscript,Back Cover,Internal,Negative,Medium,Accepted,1,POE2411181
BIO,2023-01-07,AlBe Publishing,Typesetting,Back Cover,External,Negative,High,Accepted,1,BIO2301071
THR,2024-10-31,alpha press,Printing,Illustrations,Internal,Negative,Low,Revised,1,THR2410311
POE,2023-10-07,Alpha Press,Manuscript,Reference Section,Internal,Negative,Low,Revised,1,POE2310071
BIO,2023-11-20,Gamma Publishing,Typesetting,Reference Section,Internal,Negative,Medium,Revised,1,BIO2311201
BIO,2023-04-04,Delta Inc.,Printing,Front Cover,External,Negative,High,Addressed,1,BIO2304041
COM,2023-06-27,Gamma Publishing,Manuscript,Front Cover,External,Negative,High,Addressed,1,COM2306271
THR,2023-02-08,alpha press,Typesetting,Illustrations,Internal,Negative,Low,Revised,1,THR2302081
THR,2024-10-09,Alpha Press,Typesetting,Body,Internal,Negative,Low,Rejected,1,THR2410091
HIS,2023-03-13,Epsilon Ltd.,Proofreading,Back Cover,Internal,Negative,Low,Addressed,1,HIS2303131
COM,2023-05-01,Epsilon Ltd.,Printing,Index,Internal,Negative,High,Rejected,1,COM2305011
POE,2023-08-27,Beta books,Binding,Back Cover,External,Negative,High,Accepted,1,POE2308271
BIO,2023-02-02,Beta books,Proofreading,Front Cover,External,Negative,Low,Addressed,1,BIO2302021
COM,2023-09-06,Beta Books,Typesetting,Front Cover,External,Negative,Low,Accepted,1,COM2309061
BIO,2024-07-10,Beta books,Proofreading,Reference Section,Internal,Negative,Low,Revised,1,BIO2407101
ROM,2023-04-23,Alpha Press,Proofreading,Front Cover,Internal,Negative,Medium,Accepted,1,ROM2304231
COM,2024-12-23,Gamma Publishing,Printing,Index,External,Negative,High,Accepted,1,COM2412231
COM,2023-08-14,Alpha Press,Binding,Body Text,Internal,Negative,High,Rejected,1,COM2308141
FIC,2024-03-08,Thomson Press,Typesetting,Index,External,Negative,High,Pending,1,FIC2403081
THR,2024-05-23,Gamma Publishing,Proofreading,Front Cover,External,Negative,High,Rejected,1,THR2405231
BIO,2023-01-11,Epsilon Ltd.,Typesetting,Body Text,External,Negative,Low,Revised,1,BIO2301111
HIS,2024-09-16,Epsilon Ltd.,Printing,Front Cover,Internal,Negative,High,Addressed,2,HIS2409162
